make,model,variant,yearFrom,yearTo,bodyType,doors,seats,engineCode,engineDisplacement,engineCylinders,engineValves,engineFuelType,enginePowerBhp,enginePowerKw,engineTorqueNm,engineAspiration,enginePosition,gearboxType,gears,drivetrain,acceleration0100,topSpeedKph,topSpeedMph,fuelEconomyCombinedMpg,fuelEconomyCombinedL100,fuelEconomyUrbanL100,fuelEconomyExtraUrbanL100,fuelTankLitres,co2Gkm,emissionsStandard,noxMgkm,lengthMm,widthMm,heightMm,wheelbaseMm,weightKg,grossWeightKg,bootLitres,bootLitresMax,tyreFront,tyreRear,brakeFront,brakeRear,batteryKwh,electricRangeKm,chargingKw
AUDI,100 (C1),1.8L 4AT RWD (100 HP),1968,1976,,,,,1760,4,,PETROL,99,73.5,150,,,AUTOMATIC,4,RWD,11.9,172,107,21.8,10.8,12,10,57,,,,4623,1702,1372,2629,1090,,651,,165 Sr 14,,Discs,Drums,,,
AUDI,100 (C1),1.8L 4MT RWD (100 HP),1968,1976,,,,,1760,4,,PETROL,99,73.5,150,,,MANUAL,4,RWD,11.9,171,106,23.3,10.1,11.5,9.2,57,,,,4623,1702,1372,2629,1080,,651,,165 Sr 14,,Discs,Drums,,,
AUDI,100 (C1),1.8L 4MT RWD (80 HP),1968,1976,,,,,1760,4,,PETROL,79,58.8,135,,,MANUAL,4,RWD,13.5,156,97,26.4,8.9,,,,,,,4623,1702,1372,2629,1050,,651,,165 Sr 14,,Discs,Drums,,,
AUDI,100 (C1),1.8L 4MT RWD (90 HP),1968,1976,,,,,1760,4,,PETROL,89,66.2,142,,,MANUAL,4,RWD,12.2,163,101,26.4,8.9,,,57,,,,4623,1702,1372,2629,1060,,651,,165 Sr 14,,Discs,Drums,,,
AUDI,100 (C1),1.9L 3AT RWD (112 HP),1968,1976,,,,,1871,4,,PETROL,111,82.4,160,,,AUTOMATIC,3,RWD,12,175,109,24,9.8,,,,,,,4623,1702,1372,2629,1120,,651,,165 Sr 14,,Discs,Drums,,,
AUDI,100 (C1),1.9L 4MT RWD (112 HP),1968,1976,,,,,1871,4,,PETROL,111,82.4,160,,,MANUAL,4,RWD,10.8,179,111,26.4,8.9,,,57,,,,4623,1702,1372,2629,1100,,651,,165 Sr 14,,Discs,Drums,,,
AUDI,100 (C2),1.6L 4MT RWD (85 HP),1976,1982,,,,,1588,4,,PETROL,84,63,168,,,AUTOMATIC,4,FWD,14.3,159,99,24.5,9.6,12.6,9.2,60,,,,4681,1770,1389,2670,1110,,643,,165Sr14,,Discs,Drums,,,
AUDI,100 (C2),2.0L D 3AT RWD (70 HP),1976,1982,,,,,1986,5,,DIESEL,68,51,122,,,AUTOMATIC,3,FWD,20.5,145,90,28.3,8.3,9,9.1,60,,,,4681,1770,1389,2670,1240,,643,,165Sr14,,Discs,Drums,,,
AUDI,100 (C2),2.0L D 4MT RWD (70 HP),1976,1982,,,,,1986,5,,DIESEL,68,51,122,,,MANUAL,4,FWD,18.5,150,93,30.5,7.7,9,8.5,60,,,,4681,1770,1389,2670,1210,,643,,165Sr14,,Discs,Drums,,,
AUDI,100 (C2),2.0L D 5MT RWD (70 HP),1976,1982,,,,,1986,5,,DIESEL,68,51,122,,,MANUAL,5,FWD,18.5,150,93,31.8,7.4,9,7.6,60,,,,4681,1770,1389,2670,1210,,643,,165Sr14,,Discs,Drums,,,
AUDI,100 (C2),2.1L 3AT RWD (115 HP),1976,1982,,,,,2144,5,,PETROL,114,85,170,,,AUTOMATIC,3,FWD,13.8,172,107,20.5,11.5,14.8,1,60,,,,4681,1770,1389,2670,1170,,643,,165Sr14,,Discs,Discs,,,
AUDI,100 (C2),2.1L 4MT RWD (115 HP),1976,1982,,,,,2144,5,,PETROL,114,85,170,,,MANUAL,4,FWD,11.5,176,,20.8,11.3,14.8,10,60,,,,4681,1770,1389,2670,1170,,643,,165Sr14,,Discs,Discs,,,
AUDI,100 (C2),2.1L 4MT RWD (136 HP),1976,1982,,,,,2144,5,,PETROL,134,100,185,,,MANUAL,4,FWD,9.5,190,118,21.4,11,14.5,10.4,60,,,,4681,1770,1389,2670,1170,,643,,165Sr14,,Discs,Discs,,,
AUDI,100 (C2),2.1L 5MT RWD (115 HP),1976,1982,,,,,2144,5,,PETROL,114,85,170,,,MANUAL,5,FWD,11.5,175,109,22.8,10.3,14.8,9,60,,,,4681,1770,1389,2670,1170,,643,,165Sr14,,Discs,Discs,,,
AUDI,100 (C3),1.8L 3AT FWD (75 HP),1982,1991,,,,,1781,4,,PETROL,74,55,138,,,AUTOMATIC,3,FWD,17.2,163,101,26.1,9,10.7,9.3,79,,,,4790,1811,1420,2687,1080,,569,,165 Sr14,,Discs,Drums,,,
AUDI,100 (C3),1.8L 3AT FWD (90 HP),1982,1991,,,,,1781,4,,PETROL,89,66,138,,,AUTOMATIC,3,FWD,14,172,107,31.4,7.5,9.7,8.3,79,,,,4790,1811,1420,2687,1080,,569,,185/70 Sr14,,Discs,Drums,,,
AUDI,100 (C3),1.8L 4MT FWD (75 HP),1982,1991,,,,,1781,4,,PETROL,74,55,138,,,MANUAL,4,FWD,14.9,166,103,29.8,7.9,9.8,7.7,79,,,,4790,1811,1420,2687,1059,,569,,165 Sr14,,Discs,Drums,,,
AUDI,100 (C3),1.8L 4MT FWD (90 HP),1982,1991,,,,,1781,4,,PETROL,89,66,138,,,MANUAL,4,FWD,12,175,109,32.6,7.2,,,79,,,,4790,1811,1420,2687,1084,,569,,185/70 Sr14,,Discs,Drums,,,
AUDI,100 (C3),1.8L 5MT FWD (75 HP),1982,1991,,,,,1781,4,,PETROL,74,55,138,,,MANUAL,5,FWD,14.9,166,103,30.5,7.7,9.8,7.5,,,,,4790,1811,1420,2687,1080,,569,,165 Sr14,,Discs,Drums,,,
AUDI,100 (C3),1.8L quattro 5MT AWD (90 HP),1982,1991,,,,,1781,4,,PETROL,89,66,138,,,MANUAL,5,,12.9,175,109,28.7,8.2,10.9,7.7,79,,,,4790,1811,1420,2687,1200,,569,,185/70 Sr14,,Discs,Drums,,,
AUDI,100 (C3),1.9L 3AT FWD (100 HP),1982,1991,,,,,1921,5,,PETROL,99,74,150,,,AUTOMATIC,3,FWD,14.1,172,107,24.8,9.5,11.5,9.6,79,,,,4790,1811,1420,2687,1145,,569,,185/70 Sr14,,Discs,Drums,,,
AUDI,100 (C3),1.9L 5MT FWD (100 HP),1982,1991,,,,,1921,5,,PETROL,99,74,150,,,MANUAL,5,FWD,12.2,175,109,29,8.1,10.9,7.6,79,,,,4790,1811,1420,2687,1145,,569,,185/70 Sr14,,Discs,Drums,,,
AUDI,100 (C3),2.0L 3AT FWD (115 HP),1982,1991,,,,,1994,5,,PETROL,114,85,170,,,AUTOMATIC,3,FWD,12.6,187,116,23.8,9.9,12.5,9.4,,,,,4790,1811,1420,2687,1250,,569,,185/70 Hr14,,Discs,Drums,,,
AUDI,100 (C3),2.0L 5MT FWD (115 HP),1982,1991,,,,,1994,5,,PETROL,114,85,170,,,MANUAL,5,FWD,10.7,190,118,26.4,8.9,11.4,6.7,79,,,,4790,1811,1420,2687,1210,,569,,185/70 Hr14,,Discs,Drums,,,
AUDI,100 (C3),2.0L D 3AT FWD (70 HP),1982,1991,,,,,1986,5,,DIESEL,69,51.5,123,,,AUTOMATIC,3,FWD,21,153,95,29,8.1,9,8.9,79,,,,4790,1811,1420,2687,1210,,569,,185/70 Sr14,,Discs,Drums,,,
