make,model,variant,yearFrom,yearTo,bodyType,doors,seats,engineCode,engineDisplacement,engineCylinders,engineValves,engineFuelType,enginePowerBhp,enginePowerKw,engineTorqueNm,engineAspiration,enginePosition,gearboxType,gears,drivetrain,acceleration0100,topSpeedKph,topSpeedMph,fuelEconomyCombinedMpg,fuelEconomyCombinedL100,fuelEconomyUrbanL100,fuelEconomyExtraUrbanL100,fuelTankLitres,co2Gkm,emissionsStandard,noxMgkm,lengthMm,widthMm,heightMm,wheelbaseMm,weightKg,grossWeightKg,bootLitres,bootLitresMax,tyreFront,tyreRear,brakeFront,brakeRear,batteryKwh,electricRangeKm,chargingKw
BMW,1500,1.5L 4MT (80 HP),1962,1966,,,,,1499,4,,PETROL,79,59,118,,,MANUAL,4,RWD,13.5,150,93,23.8,9.9,,,,,,,4501,1709,1450,2550,1050,,600,,6.00 - 14,,Discs,Drums,,,
BMW,1600,1.6L 4MT (84 HP),1966,1975,,,,,1573,4,,PETROL,83,62,113,,,MANUAL,4,RWD,13,150,93,23.5,10,,,,,,,4229,1588,1410,2499,1050,,600,,6.00X13,,Discs,Drums,,,
BMW,2 Series,218d 6MT RWD (143 HP),2013,2017,,,,,1995,4,,DIESEL,141,105,320,,,MANUAL,6,RWD,8.9,212,132,54.7,4.3,5.3,3.8,51,,,,4432,1773,1417,2690,1430,,391,,205/55 R16 91V,,Ventilated Discs,Solid Discs,,,
BMW,2 Series,218d 8AT RWD (143 HP),2013,2017,,,,,1995,4,,DIESEL,141,105,320,,,AUTOMATIC,8,RWD,8.6,212,132,56,4.2,5.1,3,51,,,,4432,1773,1417,2690,1450,,391,,205/55 R16 91V,,Ventilated Discs,Solid Discs,,,
BMW,2 Series,218i 6MT RWD (136 HP),2013,2017,,,,,1499,3,,PETROL,134,100,220,,,MANUAL,6,RWD,8.8,209,130,46.1,5.1,6.3,4.4,51,,,,4432,1773,1417,2690,1430,,391,,205/55 R16 91V,,Ventilated Discs,Solid Discs,,,
BMW,2 Series,218i 8AT RWD (136 HP),2013,2017,,,,,1499,3,,PETROL,134,100,220,,,AUTOMATIC,8,RWD,8,209,130,46.1,5.1,6.2,4.4,51,,,,4432,1773,1417,2690,1360,,391,,205/55 R16 91V,,Ventilated Discs,Solid Discs,,,
BMW,2 Series,220d 6MT RWD (184 HP),2013,2017,,,,,1995,4,,DIESEL,181,135,38,,,MANUAL,6,RWD,7.2,230,143,52.3,4.5,5.6,3.9,51,,,,4432,1773,1417,2690,1375,,391,,205/55 R16,,Ventilated Discs,Solid Discs,,,
BMW,2 Series,220d 8AT RWD (184 HP),2013,2017,,,,,1995,4,,DIESEL,181,135,38,,,AUTOMATIC,8,RWD,7.1,230,143,56,4.2,4.9,3.8,51,,,,4432,1773,1417,2690,1450,,391,,205/55 R16,,Ventilated Discs,Solid Discs,,,
BMW,2 Series,220d xDrive 8AT AWD (190 HP),2013,2017,,,,,1995,4,,DIESEL,186,139,400,,,AUTOMATIC,8,,6.9,225,140,54.7,4.3,5.1,3.9,51,,,,4432,1773,1417,2690,1485,,391,,205/55 R16 91V,,Ventilated Discs,Solid Discs,,,
BMW,2 Series,220i 6MT RWD (184 HP),2013,2017,,,,,1997,4,,PETROL,181,135,270,,,MANUAL,6,RWD,7,235,146,38.6,6.1,8.3,4.8,51,,,,4432,1773,1417,2690,1350,,391,,205/55 R16,,Ventilated Discs,Solid Discs,,,
BMW,2 Series,220i 8AT RWD (184 HP),2013,2017,,,,,1997,4,,PETROL,181,135,270,,,AUTOMATIC,8,RWD,7,230,143,41.3,5.7,7.7,4.6,51,,,,4432,1773,1417,2690,1425,,391,,205/55 R16,,Ventilated Discs,Solid Discs,,,
BMW,2 Series,225d 8AT RWD (217 HP),2013,2017,,,,,1995,4,,DIESEL,215,160,450,,,AUTOMATIC,8,RWD,6.3,241,150,50,4.7,5.6,4.2,51,,,,4432,1773,1417,2690,1495,,391,,205/50 R17 89W,,Ventilated Discs,Solid Discs,,,
BMW,2 Series,228i 6MT RWD (240 HP),2013,2017,,,,,1997,4,,PETROL,241,180,350,,,MANUAL,6,RWD,5.8,249,155,35.6,6.6,8.7,5.4,51,,,,4432,1773,1417,2690,1385,,391,,205/55 R16,,Ventilated Discs,Solid Discs,,,
BMW,2 Series,228i 8AT RWD (240 HP),2013,2017,,,,,1997,4,,PETROL,240,179,350,,,AUTOMATIC,8,RWD,5.7,249,155,37.3,6.3,8.5,5.1,51,,,,4432,1773,1417,2690,1460,,391,,205/55 R16,,Ventilated Discs,Solid Discs,,,
BMW,2 Series,M235i 6MT RWD (326 HP),2013,2017,,,,,2979,6,,PETROL,322,240,450,,,MANUAL,6,RWD,5,249,155,29,8.1,10.9,6.4,51,,,,4432,1773,1417,2690,1455,,391,,225/40 R18,,Ventilated Discs,Solid Discs,,,
BMW,2 Series,M235i 8AT RWD (326 HP),2013,2017,,,,,2979,6,,PETROL,322,240,450,,,AUTOMATIC,8,RWD,4.8,249,155,29,8.1,10.9,6.4,51,,,,4432,1773,1417,2690,1530,,391,,225/40 R18,,Ventilated Discs,Solid Discs,,,
BMW,2 Series,M235i xDrive 8AT AWD (326 HP),2013,2017,,,,,2979,6,,PETROL,322,240,450,,,AUTOMATIC,8,,4.6,249,155,29,8.1,10.3,5.9,51,,,,4432,1773,1417,2690,1545,,391,,225/40 R18,,Ventilated Discs,Solid Discs,,,
BMW,2 Series,M240i 6MT RWD (340 HP),2013,2017,,,,,2998,6,,PETROL,335,250,500,,,MANUAL,6,RWD,4.8,249,155,30.2,7.8,10.6,6.2,51,,,,4455,1773,1407,2690,1545,,391,,225/40 R18 88Y || 245/35 R 18 92Y Xl,,Ventilated Discs,Solid Discs,,,
BMW,2 Series,M240i 8AT RWD (340 HP),2013,2017,,,,,2998,6,,PETROL,335,250,500,,,AUTOMATIC,8,RWD,4.6,249,155,33.1,7.1,9.4,5.8,51,,,,4455,1773,1407,2690,1560,,391,,225/40 R18 88Y || 245/35 R 18 92Y Xl,,Ventilated Discs,Solid Discs,,,
BMW,2 Series,M240i xDrive 8AT AWD (340 HP),2013,2017,,,,,2998,6,,PETROL,335,250,500,,,AUTOMATIC,8,,4.4,249,155,31.8,7.4,9.8,6,51,,,,4455,1773,1407,2690,1615,,391,,225/40 R18 88Y || 245/35 R 18 92Y Xl,,Ventilated Discs,Solid Discs,,,
BMW,2 Series Active Tourer,218d 7AT (150 HP),2021,,,,,,1995,4,,DIESEL,148,110.3,360,,,DCT,7,FWD,8.8,220,137,44.4,5.3,,,45,,,,4387,1824,1575,2670,1620,,470,,205/65 R16 95W,,Ventilated Discs,Ventilated Discs,,,
BMW,2 Series Active Tourer,218i 7AT (136 HP),2021,,,,,,1499,3,,PETROL,134,100,230,,,DCT,7,FWD,9,214,133,34.6,6.8,,,45,,,,4387,1824,1575,2670,1545,,470,,205/65 R16 95W,,Ventilated Discs,Ventilated Discs,,,
BMW,2 Series Active Tourer,220i 7AT (156 HP),2021,,,,,,1499,3,,,154,114.7,230,,,DCT,7,RWD,8.1,220,137,36.2,6.5,,,45,,,,4387,1824,1575,2670,1595,,470,,205/65 R16 95W,,Ventilated Discs,Ventilated Discs,,,
BMW,2 Series Active Tourer,223i 7AT (204 HP),2021,,,,,,1998,4,,,201,150,320,,,DCT,7,RWD,7,241,150,35.6,6.6,,,45,,,,4387,1824,1575,2670,1620,,470,,205/65 R16 95W,,Ventilated Discs,Ventilated Discs,,,
BMW,2 Series Active Tourer (F45),214d 6MT FWD (95 HP),2014,2018,,,,,1496,3,,DIESEL,94,70,220,,,MANUAL,6,FWD,12.9,185,115,61.9,3.8,4.4,3.4,51,,,,4341,1801,1554,2670,1350,,467,,205/60 R16 92V,,Ventilated Discs,Solid Discs,,,
BMW,2 Series Active Tourer (F45),216d 6MT FWD (115 HP),2014,2018,,,,,1496,3,,DIESEL,114,85,270,,,MANUAL,6,FWD,10.6,195,121,61.9,3.8,4.4,3.4,51,,,,4341,1801,1554,2670,1440,,467,,205/60 R16 92V,,Ventilated Discs,Solid Discs,,,
BMW,2 Series Active Tourer (F45),216d 6MT FWD (116 HP),2018,2021,,,,,1496,3,,DIESEL,114,85.3,270,,,MANUAL,6,FWD,11.1,195,121,54.7,4.3,4.6,4.1,51,,,,4354,1801,1554,2670,1495,,467,,205/60 R16 96V,,Ventilated Discs,Discs,,,
